,iso2,year,new_sp_m04,new_sp_m514,new_sp_m014,new_sp_m1524,new_sp_m2534,new_sp_m3544,new_sp_m4554,new_sp_m5564,new_sp_m65,new_sp_f04,new_sp_f514,new_sp_f014,new_sp_f1524,new_sp_f2534,new_sp_f3544,new_sp_f4554,new_sp_f5564,new_sp_f65
0,AD,1989,,,,,,,,,,,,,,,,,,
1,AD,1990,,,,,,,,,,,,,,,,,,
2,AD,1991,,,,,,,,,,,,,,,,,,
3,AD,1992,,,,,,,,,,,,,,,,,,
4,AD,1993,,,,,,,,,,,,,,,,,,
5,AD,1994,,,,,,,,,,,,,,,,,,
6,AD,1996,,,0.0,0.0,0.0,4.0,1.0,0.0,0.0,,,0.0,1.0,1.0,0.0,0.0,1.0,0.0
7,AD,1997,,,0.0,0.0,1.0,2.0,2.0,1.0,6.0,,,0.0,1.0,2.0,3.0,0.0,0.0,1.0
8,AD,1998,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,
9,AD,1999,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10,AD,2000,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,
11,AD,2001,,,0.0,,,2.0,1.0,,,,,,,,,,,
12,AD,2002,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
13,AD,2003,,,0.0,0.0,0.0,1.0,2.0,0.0,0.0,,,0.0,1.0,1.0,1.0,0.0,0.0,0.0
14,AD,2004,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0
15,AD,2005,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
16,AD,2006,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
17,AD,2007,,,,,,,,,,,,,,1.0,,1.0,,
18,AD,2008,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
